timestamp,acceleration.x,acceleration.y,acceleration.z
1.487304495481e+12,-0.12,0.00,0.97
1.487304495963e+12,-0.10,0.02,0.99
1.487304496458e+12,-0.12,-0.02,0.99
1.487304496956e+12,-0.08,0.10,0.94
1.48730449745e+12,-0.10,0.04,1.04
1.487304497945e+12,-0.09,0.15,0.99
1.487304498425e+12,-0.11,0.12,0.99
1.487304498922e+12,-0.09,0.14,1.00
1.487304499417e+12,-0.11,0.09,0.97
1.487304499914e+12,-0.10,-0.01,1.02
1.487304500409e+12,-0.16,-0.04,0.99
1.487304500906e+12,-0.07,-0.03,0.96
1.487304501404e+12,-0.12,0.06,1.00
1.487304501897e+12,-0.13,-0.06,0.98
1.487304502377e+12,-0.06,-0.03,0.94
1.487304502874e+12,-0.10,-0.10,0.95
1.487304503369e+12,-0.13,-0.09,1.01
1.487304503865e+12,-0.17,-0.05,0.99
1.487304504362e+12,-0.12,-0.03,1.01
1.487304504857e+12,-0.15,-0.06,0.98
1.487304505353e+12,-0.08,-0.03,0.97
1.487304505836e+12,-0.15,0.02,0.99
1.487304506329e+12,-0.13,-0.01,0.96
1.487304506824e+12,-0.05,-0.01,0.94
1.487304507322e+12,-0.13,-0.02,0.95
1.487304507802e+12,-0.10,-0.04,0.97
1.487304508296e+12,-0.15,-0.02,0.98
1.487304508792e+12,-0.15,-0.04,1.01
1.487304509289e+12,-0.12,-0.08,0.96
1.487304509783e+12,-0.15,0.00,0.96
1.487304510279e+12,-0.12,-0.01,1.05
1.487304510775e+12,-0.14,0.03,0.95
1.487304511271e+12,-0.12,-0.02,1.04
1.487304511752e+12,-0.13,0.06,0.94
1.487304512264e+12,-0.10,-0.02,1.06
1.487304512745e+12,-0.12,0.05,0.93
1.487304513256e+12,-0.11,-0.02,1.03
1.487304513739e+12,-0.09,0.07,0.95
1.487304514231e+12,-0.13,-0.02,0.99
1.487304514727e+12,-0.11,0.02,0.95
1.487304515226e+12,-0.12,-0.00,1.06
1.487304515722e+12,-0.12,0.03,0.93
1.487304516215e+12,-0.12,-0.00,1.06
1.487304516696e+12,-0.13,0.00,0.93
1.487304517191e+12,-0.13,0.03,1.04
1.487304517689e+12,-0.17,-0.02,0.98
1.487304518184e+12,-0.13,0.01,1.06
1.487304518679e+12,-0.17,-0.02,0.98
1.487304519175e+12,-0.11,0.03,1.04
1.48730451967e+12,-0.18,-0.00,0.96
1.487304520167e+12,-0.09,-0.00,1.08
1.487304520663e+12,-0.19,-0.01,0.98
1.487304521159e+12,-0.10,0.02,1.04
1.487304521638e+12,-0.19,-0.02,0.99
1.487304522151e+12,-0.11,0.02,1.06
1.487304522631e+12,-0.14,0.02,0.94
1.487304523127e+12,-0.11,0.02,1.07
1.487304523623e+12,-0.15,0.01,0.95
1.487304524121e+12,-0.11,0.00,1.07
1.487304524615e+12,-0.15,0.01,0.95
1.48730452511e+12,-0.12,0.02,1.05
1.487304525607e+12,-0.15,0.03,0.92
1.487304526104e+12,-0.11,-0.01,1.04
