timestamp,location,cpe,device_id,data
1488899458.34,tokyo,raspi001,A1324LUA-T,1
1488899458.64,tokyo,raspi001,A1324LUA-T,1
1488899458.95,tokyo,raspi001,A1324LUA-T,1
1488899459.26,tokyo,raspi001,A1324LUA-T,1
1488899459.56,tokyo,raspi001,A1324LUA-T,1
1488899459.87,tokyo,raspi001,A1324LUA-T,1
1488899460.18,tokyo,raspi001,A1324LUA-T,1
1488899460.49,tokyo,raspi001,A1324LUA-T,1
1488899460.79,tokyo,raspi001,A1324LUA-T,1
1488899461.10,tokyo,raspi001,A1324LUA-T,1
1488899461.43,tokyo,raspi001,A1324LUA-T,1
1488899461.74,tokyo,raspi001,A1324LUA-T,1
1488899462.05,tokyo,raspi001,A1324LUA-T,1
1488899462.36,tokyo,raspi001,A1324LUA-T,1
1488899462.67,tokyo,raspi001,A1324LUA-T,1
1488899462.97,tokyo,raspi001,A1324LUA-T,1
1488899463.29,tokyo,raspi001,A1324LUA-T,1
1488899463.58,tokyo,raspi001,A1324LUA-T,1
1488899463.90,tokyo,raspi001,A1324LUA-T,1
1488899464.20,tokyo,raspi001,A1324LUA-T,1
1488899464.51,tokyo,raspi001,A1324LUA-T,1
1488899464.83,tokyo,raspi001,A1324LUA-T,1
1488899465.13,tokyo,raspi001,A1324LUA-T,1
1488899465.45,tokyo,raspi001,A1324LUA-T,1
1488899465.76,tokyo,raspi001,A1324LUA-T,1
1488899466.07,tokyo,raspi001,A1324LUA-T,1
1488899466.36,tokyo,raspi001,A1324LUA-T,1
1488899466.68,tokyo,raspi001,A1324LUA-T,1
1488899466.97,tokyo,raspi001,A1324LUA-T,1
1488899467.28,tokyo,raspi001,A1324LUA-T,1
1488899467.57,tokyo,raspi001,A1324LUA-T,1
1488899467.88,tokyo,raspi001,A1324LUA-T,1
1488899468.18,tokyo,raspi001,A1324LUA-T,1
1488899468.49,tokyo,raspi001,A1324LUA-T,1
1488899468.79,tokyo,raspi001,A1324LUA-T,1
1488899469.09,tokyo,raspi001,A1324LUA-T,1
1488899469.40,tokyo,raspi001,A1324LUA-T,1
1488899470.00,tokyo,raspi001,A1324LUA-T,1
1488899470.29,tokyo,raspi001,A1324LUA-T,1
1488899470.60,tokyo,raspi001,A1324LUA-T,1
1488899471.20,tokyo,raspi001,A1324LUA-T,1
1488899471.79,tokyo,raspi001,A1324LUA-T,1
1488899472.10,tokyo,raspi001,A1324LUA-T,1
1488899472.40,tokyo,raspi001,A1324LUA-T,1
1488899472.71,tokyo,raspi001,A1324LUA-T,1
1488899473.02,tokyo,raspi001,A1324LUA-T,1
1488899473.33,tokyo,raspi001,A1324LUA-T,1
1488899473.67,tokyo,raspi001,A1324LUA-T,1
1488899474.16,tokyo,raspi001,A1324LUA-T,1
1488899474.57,tokyo,raspi001,A1324LUA-T,1
1488899474.91,tokyo,raspi001,A1324LUA-T,1
1488899475.22,tokyo,raspi001,A1324LUA-T,1
1488899475.55,tokyo,raspi001,A1324LUA-T,1
1488899475.85,tokyo,raspi001,A1324LUA-T,1
1488899476.15,tokyo,raspi001,A1324LUA-T,1
1488899476.47,tokyo,raspi001,A1324LUA-T,1
1488899476.77,tokyo,raspi001,A1324LUA-T,1
1488899477.07,tokyo,raspi001,A1324LUA-T,1
1488899477.37,tokyo,raspi001,A1324LUA-T,1
1488899477.98,tokyo,raspi001,A1324LUA-T,1
1488899478.29,tokyo,raspi001,A1324LUA-T,1
1488899478.59,tokyo,raspi001,A1324LUA-T,1
1488899478.90,tokyo,raspi001,A1324LUA-T,1
1488899479.20,tokyo,raspi001,A1324LUA-T,1
1488899479.81,tokyo,raspi001,A1324LUA-T,1
1488899480.11,tokyo,raspi001,A1324LUA-T,1
1488899480.41,tokyo,raspi001,A1324LUA-T,1
1488899480.73,tokyo,raspi001,A1324LUA-T,1
1488899481.03,tokyo,raspi001,A1324LUA-T,1
1488899481.32,tokyo,raspi001,A1324LUA-T,1
1488899481.62,tokyo,raspi001,A1324LUA-T,1
1488899481.92,tokyo,raspi001,A1324LUA-T,1
1488899482.22,tokyo,raspi001,A1324LUA-T,1
1488899482.52,tokyo,raspi001,A1324LUA-T,1
1488899482.83,tokyo,raspi001,A1324LUA-T,1
1488899483.11,tokyo,raspi001,A1324LUA-T,1
1488899483.73,tokyo,raspi001,A1324LUA-T,1
1488899484.03,tokyo,raspi001,A1324LUA-T,1
1488899484.33,tokyo,raspi001,A1324LUA-T,1
1488899484.63,tokyo,raspi001,A1324LUA-T,1
1488899484.94,tokyo,raspi001,A1324LUA-T,1
1488899485.24,tokyo,raspi001,A1324LUA-T,1
1488899485.56,tokyo,raspi001,A1324LUA-T,1
1488899485.87,tokyo,raspi001,A1324LUA-T,1
1488899486.18,tokyo,raspi001,A1324LUA-T,1
1488899486.49,tokyo,raspi001,A1324LUA-T,1
1488899486.81,tokyo,raspi001,A1324LUA-T,1
1488899487.12,tokyo,raspi001,A1324LUA-T,1
1488899487.44,tokyo,raspi001,A1324LUA-T,1
1488899487.75,tokyo,raspi001,A1324LUA-T,1
1488899488.06,tokyo,raspi001,A1324LUA-T,1
1488899488.37,tokyo,raspi001,A1324LUA-T,1
1488899488.69,tokyo,raspi001,A1324LUA-T,1
1488899489.00,tokyo,raspi001,A1324LUA-T,1
1488899489.34,tokyo,raspi001,A1324LUA-T,1
1488899489.67,tokyo,raspi001,A1324LUA-T,1
1488899490.01,tokyo,raspi001,A1324LUA-T,1
1488899490.33,tokyo,raspi001,A1324LUA-T,1
1488899490.65,tokyo,raspi001,A1324LUA-T,1
1488899491.04,tokyo,raspi001,A1324LUA-T,1
1488899492.82,tokyo,raspi001,A1324LUA-T,1
1488899493.24,tokyo,raspi001,A1324LUA-T,1
1488899493.57,tokyo,raspi001,A1324LUA-T,1
1488899493.89,tokyo,raspi001,A1324LUA-T,1
1488899494.19,tokyo,raspi001,A1324LUA-T,1
1488899494.50,tokyo,raspi001,A1324LUA-T,1
1488899494.80,tokyo,raspi001,A1324LUA-T,1
1488899495.12,tokyo,raspi001,A1324LUA-T,1
1488899495.42,tokyo,raspi001,A1324LUA-T,1
1488899495.72,tokyo,raspi001,A1324LUA-T,1
1488899496.03,tokyo,raspi001,A1324LUA-T,1
1488899496.33,tokyo,raspi001,A1324LUA-T,1
1488899496.65,tokyo,raspi001,A1324LUA-T,1
1488899496.97,tokyo,raspi001,A1324LUA-T,1
1488899497.28,tokyo,raspi001,A1324LUA-T,1
1488899497.59,tokyo,raspi001,A1324LUA-T,1
1488899497.90,tokyo,raspi001,A1324LUA-T,1
1488899498.21,tokyo,raspi001,A1324LUA-T,1
1488899498.53,tokyo,raspi001,A1324LUA-T,1
1488899498.85,tokyo,raspi001,A1324LUA-T,1
1488899499.17,tokyo,raspi001,A1324LUA-T,1
1488899499.49,tokyo,raspi001,A1324LUA-T,1
1488899499.80,tokyo,raspi001,A1324LUA-T,1
1488899500.13,tokyo,raspi001,A1324LUA-T,1
1488899500.53,tokyo,raspi001,A1324LUA-T,1
1488899501.06,tokyo,raspi001,A1324LUA-T,1
1488899501.42,tokyo,raspi001,A1324LUA-T,1
1488899501.75,tokyo,raspi001,A1324LUA-T,1
1488899502.05,tokyo,raspi001,A1324LUA-T,1
1488899502.37,tokyo,raspi001,A1324LUA-T,1
1488899502.68,tokyo,raspi001,A1324LUA-T,1
1488899502.98,tokyo,raspi001,A1324LUA-T,1
1488899503.28,tokyo,raspi001,A1324LUA-T,1
1488899503.58,tokyo,raspi001,A1324LUA-T,1
1488899503.88,tokyo,raspi001,A1324LUA-T,1
1488899504.18,tokyo,raspi001,A1324LUA-T,1
1488899504.49,tokyo,raspi001,A1324LUA-T,1
1488899504.78,tokyo,raspi001,A1324LUA-T,1
1488899505.11,tokyo,raspi001,A1324LUA-T,1
1488899505.46,tokyo,raspi001,A1324LUA-T,1
1488899505.78,tokyo,raspi001,A1324LUA-T,1
1488899506.11,tokyo,raspi001,A1324LUA-T,1
1488899506.40,tokyo,raspi001,A1324LUA-T,1
1488899506.72,tokyo,raspi001,A1324LUA-T,1
1488899507.03,tokyo,raspi001,A1324LUA-T,1
1488899507.35,tokyo,raspi001,A1324LUA-T,1
1488899507.69,tokyo,raspi001,A1324LUA-T,1
1488899508.01,tokyo,raspi001,A1324LUA-T,1
1488899508.34,tokyo,raspi001,A1324LUA-T,1
1488899508.68,tokyo,raspi001,A1324LUA-T,1
1488899509.05,tokyo,raspi001,A1324LUA-T,1
1488899509.61,tokyo,raspi001,A1324LUA-T,1
1488899511.59,tokyo,raspi001,A1324LUA-T,1
1488899511.98,tokyo,raspi001,A1324LUA-T,1
1488899512.31,tokyo,raspi001,A1324LUA-T,1
1488899512.62,tokyo,raspi001,A1324LUA-T,1
1488899512.92,tokyo,raspi001,A1324LUA-T,1
1488899513.52,tokyo,raspi001,A1324LUA-T,1
1488899513.82,tokyo,raspi001,A1324LUA-T,1
1488899514.15,tokyo,raspi001,A1324LUA-T,1
1488899514.50,tokyo,raspi001,A1324LUA-T,1
1488899514.87,tokyo,raspi001,A1324LUA-T,1
1488899515.23,tokyo,raspi001,A1324LUA-T,1
1488899515.61,tokyo,raspi001,A1324LUA-T,1
1488899516.01,tokyo,raspi001,A1324LUA-T,1
1488899516.40,tokyo,raspi001,A1324LUA-T,1
1488899516.81,tokyo,raspi001,A1324LUA-T,1
1488899519.21,tokyo,raspi001,A1324LUA-T,1
1488899522.51,tokyo,raspi001,A1324LUA-T,1
1488899523.04,tokyo,raspi001,A1324LUA-T,1
1488899523.39,tokyo,raspi001,A1324LUA-T,1
1488899523.70,tokyo,raspi001,A1324LUA-T,1
1488899523.99,tokyo,raspi001,A1324LUA-T,1
1488899524.57,tokyo,raspi001,A1324LUA-T,1
1488899524.85,tokyo,raspi001,A1324LUA-T,1
1488899525.15,tokyo,raspi001,A1324LUA-T,1
1488899525.43,tokyo,raspi001,A1324LUA-T,1
1488899525.72,tokyo,raspi001,A1324LUA-T,1
1488899526.01,tokyo,raspi001,A1324LUA-T,1
1488899526.32,tokyo,raspi001,A1324LUA-T,1
1488899526.61,tokyo,raspi001,A1324LUA-T,1
1488899526.91,tokyo,raspi001,A1324LUA-T,1
1488899527.20,tokyo,raspi001,A1324LUA-T,1
1488899527.49,tokyo,raspi001,A1324LUA-T,1
1488899527.79,tokyo,raspi001,A1324LUA-T,1
1488899528.07,tokyo,raspi001,A1324LUA-T,1
1488899528.36,tokyo,raspi001,A1324LUA-T,1
1488899528.65,tokyo,raspi001,A1324LUA-T,1
1488899528.94,tokyo,raspi001,A1324LUA-T,1
1488899529.23,tokyo,raspi001,A1324LUA-T,1
1488899529.52,tokyo,raspi001,A1324LUA-T,1
1488899529.82,tokyo,raspi001,A1324LUA-T,1
1488899530.13,tokyo,raspi001,A1324LUA-T,1
1488899530.43,tokyo,raspi001,A1324LUA-T,1
1488899531.04,tokyo,raspi001,A1324LUA-T,1
1488899531.40,tokyo,raspi001,A1324LUA-T,1
1488899533.46,tokyo,raspi001,A1324LUA-T,1
1488899533.87,tokyo,raspi001,A1324LUA-T,1
1488899534.21,tokyo,raspi001,A1324LUA-T,1
1488899534.52,tokyo,raspi001,A1324LUA-T,1
1488899534.82,tokyo,raspi001,A1324LUA-T,1
1488899535.13,tokyo,raspi001,A1324LUA-T,1
1488899535.42,tokyo,raspi001,A1324LUA-T,1
1488899535.73,tokyo,raspi001,A1324LUA-T,1
1488899536.03,tokyo,raspi001,A1324LUA-T,1
1488899536.33,tokyo,raspi001,A1324LUA-T,1
1488899536.63,tokyo,raspi001,A1324LUA-T,1
1488899536.93,tokyo,raspi001,A1324LUA-T,1
1488899537.26,tokyo,raspi001,A1324LUA-T,1
1488899537.59,tokyo,raspi001,A1324LUA-T,1
1488899537.89,tokyo,raspi001,A1324LUA-T,1
1488899538.21,tokyo,raspi001,A1324LUA-T,1
1488899538.52,tokyo,raspi001,A1324LUA-T,1
1488899538.81,tokyo,raspi001,A1324LUA-T,1
1488899539.11,tokyo,raspi001,A1324LUA-T,1
1488899539.40,tokyo,raspi001,A1324LUA-T,1
1488899539.70,tokyo,raspi001,A1324LUA-T,1
1488899540.00,tokyo,raspi001,A1324LUA-T,1
1488899540.29,tokyo,raspi001,A1324LUA-T,1
1488899540.59,tokyo,raspi001,A1324LUA-T,1
1488899540.89,tokyo,raspi001,A1324LUA-T,1
1488899541.19,tokyo,raspi001,A1324LUA-T,1
1488899541.48,tokyo,raspi001,A1324LUA-T,1
1488899541.77,tokyo,raspi001,A1324LUA-T,1
1488899542.07,tokyo,raspi001,A1324LUA-T,1
1488899542.36,tokyo,raspi001,A1324LUA-T,1
1488899542.66,tokyo,raspi001,A1324LUA-T,1
1488899542.95,tokyo,raspi001,A1324LUA-T,1
1488899543.26,tokyo,raspi001,A1324LUA-T,1
1488899543.57,tokyo,raspi001,A1324LUA-T,1
1488899543.87,tokyo,raspi001,A1324LUA-T,1
1488899544.18,tokyo,raspi001,A1324LUA-T,1
1488899544.49,tokyo,raspi001,A1324LUA-T,1
1488899544.81,tokyo,raspi001,A1324LUA-T,1
1488899545.12,tokyo,raspi001,A1324LUA-T,1
